0.454974	0.454974	Shoot
1.199107	1.199107	Shoot
1.843429	1.843429	Shoot
2.501594	2.501594	Shoot
3.212395	3.212395	Shoot
3.843943	3.843943	Shoot
5.800053	5.800053	Finisher
6.455386	6.455386	Shoot
7.752061	7.752061	Shoot 
9.060396	9.060396	Shoot
9.729722	9.729722	Shoot
11.028729	11.028729	Shoot
11.672402	11.672402	Shoot
12.994730	12.994730	Shoot
14.310061	14.310061	Dash
14.508294	14.508294	Shoot
14.792816	14.792816	Dash
14.963063	14.963063	Shoot
15.275571	15.275571	Dash
15.485464	15.485464	Shoot
15.758326	15.758326	Dash
15.928572	15.928572	Shoot
16.220091	16.220091	Finisher
16.856767	16.856767	Shoot
17.533090	17.533090	Shoot
18.181428	18.181428	Shoot
18.841425	18.841425	Shoot
19.487431	19.487431	Shoot
21.439439	21.439439	Shoot
22.122758	22.122758	Shoot
22.813074	22.813074	Shoot
23.407557	23.407557	Shoot
24.727699	24.727699	Shoot
25.060508	25.060508	Dash
25.263399	25.263399	Shoot
25.547040	25.547040	Dash
25.754824	25.754824	Shoot
26.018676	26.018676	Dash
26.226934	26.226934	Shoot
26.461103	26.461103	Dash
26.672185	26.672185	Finisher
